plantName;dateStart;obs;obs_2;lod;lod_2;plantVolume;meanVolume;NH4
PARIS_MARNE_AVAL;2020-03-04;24418.492000162503;13067.649488193161;5000;5000;112789.0;45468.0;49.96628061045091
PARIS_MARNE_AVAL;2020-03-11;329503.02428276144;714225.3387253945;5000;5000;94628.0;45468.0;49.03716189456211
PARIS_MARNE_AVAL;2020-04-02;637879.84769243;871199.4327502471;5000;5000;64924.0;45468.0;54.70120416520696
PARIS_MARNE_AVAL;2020-04-08;8092109.8910714295;3547235.3597635906;5000;5000;63475.0;45468.0;77.33560059964654
PARIS_MARNE_AVAL;2020-04-15;93149.91452136554;51531.591548801356;5000;5000;59714.0;45468.0;61.10229955740282
PARIS_MARNE_AVAL;2020-04-19;661999.5096233522;702976.1767028741;5000;5000;60371.0;45468.0;77.7636054773142
PARIS_MARNE_AVAL;2020-04-22;416434.16667155083;246537.94430816683;5000;5000;58230.0;45468.0;35.56766153823213
PARIS_MARNE_AVAL;2020-04-27;122106.55579123407;106704.09561068221;5000;5000;57741.0;45468.0;72.52876168706221
PARIS_MARNE_AVAL;2020-04-29;62324.213618357986;144080.17181472498;5000;5000;70769.0;45468.0;85.49957330884293
PARIS_MARNE_AVAL;2020-05-04;648.4488413451234;582.8264494562511;5000;5000;58126.0;45468.0;57.90715752660859
PARIS_MARNE_AVAL;2020-05-06;13736.974499472244;17413.073616690086;5000;5000;57542.0;45468.0;94.14440040284464
PARIS_MARNE_AVAL;2020-05-13;720.1995974964154;1560.2551020047217;5000;5000;57955.0;45468.0;49.88545574239172
PARIS_MARNE_AVAL;2020-05-18;585.9258216850756;2088.7224145834275;5000;5000;55580.0;45468.0;55.75230197482498
PARIS_MARNE_AVAL;2020-05-20;1327.4958853035325;2149.88126267801;5000;5000;56933.0;45468.0;36.51874143378171
PARIS_MARNE_AVAL;2020-05-22;649.8875846682422;942.4696450477484;5000;5000;56259.0;45468.0;58.32364593397539
PARIS_MARNE_AVAL;2020-05-25;2306.4791176646336;3469.7555774440243;5000;5000;53295.0;45468.0;46.46841376241048
PARIS_MARNE_AVAL;2020-05-27;2424.889858091586;1302.7871709780552;5000;5000;52871.0;45468.0;90.37732700319884
PARIS_MARNE_AVAL;2020-06-01;494.92133838916834;734.9316678101331;5000;5000;53750.0;45468.0;71.12589719498794
PARIS_MARNE_AVAL;2020-06-04;572.6752040084609;350.08030932408235;5000;5000;83846.0;45468.0;83.95685853652428
PARIS_MARNE_AVAL;2020-06-10;1202.1256533549522;1387.6273407623678;5000;5000;52457.0;45468.0;87.77844061056472
PARIS_MARNE_AVAL;2020-06-15;1381.669585412096;731.2732872918106;5000;5000;50500.0;45468.0;48.428518925867664
PARIS_MARNE_AVAL;2020-06-17;627.9586490118487;417.0504113990886;5000;5000;53392.0;45468.0;42.75353503709258
PARIS_MARNE_AVAL;2020-06-22;2414.0546269272595;1474.365243627052;5000;5000;50029.0;45468.0;85.27679659270365
PARIS_MARNE_AVAL;2020-06-24;335.14751769418035;516.6989144813871;5000;5000;52553.0;45468.0;51.08851717874772
PARIS_MARNE_AVAL;2020-06-29;728.2681061995839;540.3474140575098;5000;5000;57662.0;45468.0;68.2661638548215
PARIS_MARNE_AVAL;2020-07-01;340.8765634604578;235.96529402214756;5000;5000;57662.0;45468.0;56.989390300522714
PARIS_MARNE_AVAL;2020-07-06;4681.968479469077;4070.864972101503;5000;5000;49192.0;45468.0;64.59781282567087
PARIS_MARNE_AVAL;2020-07-08;27249.424427134927;36758.94375632526;5000;5000;49101.0;45468.0;57.50183127550615
PARIS_MARNE_AVAL;2020-07-14;1032.8932400288952;1898.868558600898;5000;5000;46194.0;45468.0;68.98008948988145
PARIS_MARNE_AVAL;2020-07-15;6298.696292275921;7183.510472923525;5000;5000;51176.0;45468.0;55.799443237489086
PARIS_MARNE_AVAL;2020-07-20;514.1589848356714;288.2136397389699;5000;5000;44207.0;45468.0;74.67723156062655
PARIS_MARNE_AVAL;2020-07-22;3451.4066390176;5016.00788251097;5000;5000;44878.0;45468.0;53.200604946488845
PARIS_MARNE_AVAL;2020-07-27;16244.242080978718;17510.4872973665;5000;5000;44621.0;45468.0;75.6681863459002
PARIS_MARNE_AVAL;2020-07-29;29143.611441752757;36438.59311456252;5000;5000;44470.0;45468.0;45.7246556135016
PARIS_MARNE_AVAL;2020-08-03;11775.977808142474;7219.0895925095165;5000;5000;46549.0;45468.0;56.90132429999219
PARIS_MARNE_AVAL;2020-08-05;23960.50993899451;13433.855617316858;5000;5000;43144.0;45468.0;50.18477022861623
PARIS_MARNE_AVAL;2020-08-10;7470.810616648266;8516.245248761556;5000;5000;44854.0;45468.0;66.7595028192477
PARIS_MARNE_AVAL;2020-08-12;73492.19612005357;218371.5366963022;5000;5000;45122.0;45468.0;55.62840489772293
PARIS_MARNE_AVAL;2020-08-17;74130.29663948226;37079.16859788535;5000;5000;57475.0;45468.0;71.36182264949866
PARIS_MARNE_AVAL;2020-08-19;69456.62351419753;62058.71138097523;5000;5000;41782.0;45468.0;66.78797410529401
PARIS_MARNE_AVAL;2020-08-24;15439.721348093091;19906.73715843986;5000;5000;43569.0;45468.0;50.85505464109072
PARIS_MARNE_AVAL;2020-08-26;24097.81151970405;19873.853934682156;5000;5000;44393.0;45468.0;55.66860452161925
PARIS_MARNE_AVAL;2020-08-31;190914.2205870342;184361.27973336529;5000;5000;49465.0;45468.0;61.86682633336715
PARIS_MARNE_AVAL;2020-09-02;20721.168258693244;32896.94850604636;5000;5000;49700.0;45468.0;58.42575808132716
PARIS_MARNE_AVAL;2020-09-07;51266.95496810036;61074.69098704915;5000;5000;26662.0;45468.0;64.32449012606052
PARIS_MARNE_AVAL;2020-09-09;124517.38965573479;133910.14553688696;5000;5000;17827.0;45468.0;69.77531362100505
PARIS_MARNE_AVAL;2020-09-14;21112.37168502721;10563.677975215209;5000;5000;33122.0;45468.0;63.80114029192064
PARIS_MARNE_AVAL;2020-09-16;65876.10133618416;90889.11861263527;5000;5000;39727.0;45468.0;76.46328374202565
PARIS_MARNE_AVAL;2020-09-21;79083.06754369328;63127.296805489765;5000;5000;36707.0;45468.0;53.25187647244391
PARIS_MARNE_AVAL;2020-09-23;296693.5213014049;690941.5368344331;5000;5000;50328.0;45468.0;82.55515644658283
PARIS_MARNE_AVAL;2020-09-28;249922.30766922134;645230.4577585756;5000;5000;51890.0;45468.0;50.47734077977547
PARIS_MARNE_AVAL;2020-09-30;6216.646536027596;10522.939079622602;5000;5000;36451.0;45468.0;83.40643139803268
PARIS_MARNE_AVAL;2020-10-05;71333.18470308457;43198.37796798794;5000;5000;49490.0;45468.0;73.50365575678416
PARIS_MARNE_AVAL;2020-10-07;531262.6494283411;971823.2060267493;5000;5000;39101.0;45468.0;83.71333351374922
PARIS_MARNE_AVAL;2020-10-12;57475.83820376315;55830.477467343044;5000;5000;34513.0;45468.0;81.99920984959778
PARIS_MARNE_AVAL;2020-10-14;289824.8715281992;416311.3558941113;5000;5000;34369.0;45468.0;85.24346159830738
PARIS_MARNE_AVAL;2020-10-19;283821.11738098325;403718.52560930356;5000;5000;35572.0;45468.0;45.26656237017243
PARIS_MARNE_AVAL;2020-10-21;140361.6877085583;124342.40619745692;5000;5000;35061.0;45468.0;46.95017258247131
PARIS_MARNE_AVAL;2020-10-26;788284.9948125782;409360.6752985014;5000;5000;34264.0;45468.0;52.8142477652558
PARIS_MARNE_AVAL;2020-10-28;133131.72732779238;62006.55580613913;5000;5000;37340.0;45468.0;80.134767984355
